instrument,direction,qty,entry_ms,exit_ms,holding_ms,entry_price,exit_price,gross_pnl,fees,pnl,entry_fill_id,exit_fill_id,entry_decision_id,exit_decision_id,entry_reason,exit_reason
MSTR,long,141.0,1707409860000,1707410220000,360000,56.92,57.21,40.89,3.584424816600001,37.3055751834,f-0442,f-0443,,,,
LITE,long,170.0,1707418860000,1707419040000,180000,47.52,47.5,-3.4,3.603532500000001,-7.0035325,f-0444,f-0445,,,,
LITE,long,171.0,1707420660000,1707420840000,180000,47.15,47.07,-13.68,3.594482278200001,-17.2744822782,f-0446,f-0447,,,,
MSTR,long,109.0,1708020060000,1708020420000,360000,74.66,74.94,30.52,3.6254900276000006,26.894509972399998,f-0448,f-0449,,,,
MSTR,long,109.0,1708021860000,1708022220000,360000,74.99,74.54,-49.05,3.6237216116000006,-52.6737216116,f-0450,f-0451,,,,
MSTR,long,114.0,1708101060000,1708101420000,360000,71.54,71.21,-37.62,3.619122956400001,-41.2391229564,f-0452,f-0453,,,,
MSTR,long,81.0,1709220660000,1709221020000,360000,101.89,101.63,-21.06,3.6594793818000007,-24.7194793818,f-0454,f-0455,,,,
MSTR,long,44.0,1709227860000,1709228220000,360000,97.02,96.92,-4.4,1.8947040288000003,-6.2947040288,f-0456,f-0457,,,,
MSTR,long,81.0,1709238660000,1709239020000,360000,101.87,101.58,-23.49,3.658223638800001,-27.1482236388,f-0458,f-0459,,,,
LITE,long,158.0,1709564460000,1709564640000,180000,52.305,52.215,-14.22,3.6809201382000007,-17.9009201382,f-0460,f-0461,,,,
MSTR,long,63.0,1709573460000,1709573820000,360000,129.04,128.11,-58.59,3.5930101158000003,-62.1830101158,f-0462,f-0463,,,,
MSTR,long,62.0,1709582460000,1709582820000,360000,132.05,131.14,-56.42,3.618750800800001,-60.0387508008,f-0464,f-0465,,,,
MSTR,long,69.0,1709663460000,1709663820000,360000,117.9,118.8,62.1,3.6234472320000006,58.476552768,f-0466,f-0467,,,,
MSTR,long,67.0,1709665260000,1709665620000,360000,115.43,115.87,29.48,3.4384193774000007,26.041580622599998,f-0468,f-0469,,,,
MSTR,long,27.0,1709744460000,1709744820000,360000,125.15,124.88,-7.29,1.4973890256000002,-8.7873890256,f-0470,f-0471,,,,
MSTR,long,65.0,1709746260000,1709746620000,360000,125.19,125.68,31.85,3.616944552000001,28.233055447999998,f-0472,f-0473,,,,
CIEN,long,158.0,1709843460000,1709843760000,300000,52.435,52.28,-24.49,3.687719494400001,-28.1777194944,f-0474,f-0475,,,,
MSTR,long,62.0,1709917260000,1709917620000,360000,132.7,135.0,142.6,3.6807602000000004,138.91923979999999,f-0476,f-0477,,,,
